id;name;web_site;description
1;Dollar;Ameliorated;encoding Sports
2;wireless magenta Generic;Toys Grocery;tan Configuration program
3;Intelligent firewall;channels;Glens global
4;bus National Baby;generation;Optimized
5;monitor;Research;withdrawal state optical
6;quantify;Buckinghamshire Innovative Credit;integrate Buckinghamshire Metal
7;redefine extensible interactive;Cambridgeshire multi-byte Health;yellow Engineer
8;Berkshire;Vista Account eco-centric;metrics
9;backing;web-enabled;Central fuchsia optical
10;Gardens Pizza;Iowa IB Enterprise-wide;monetize bandwidth
